,index,Unnamed: 0,Model,Window,Step,Recall,F1,Accuracy,Precision,ROC_AUC,SelectedFeatures,FeatureSelectionMethod,FeatureScores,Best_k
0,0,0,LogisticRegression,10,10,0.6479468599033816,0.5982205087852899,0.5739130434782609,0.5629608141443835,0.5963525257298887,"O2Hb_max, HHb_max, O2Hb_mean, O2Hb_median, HHb_mean, O2Hb_min, tHb_mean, HHb_std, HHb_median, HHb_min, tHb_median, tHb_min, tHb_max, O2Hb_std, tHb_std",random_forest,"[('O2Hb_max', np.float64(0.12255953399129209)), ('HHb_max', np.float64(0.09944588578640805)), ('O2Hb_mean', np.float64(0.0951448291174674)), ('O2Hb_median', np.float64(0.09140104313685957)), ('HHb_mean', np.float64(0.07548092886620426)), ('O2Hb_min', np.float64(0.07166742365835407)), ('tHb_mean', np.float64(0.06372345478737657)), ('HHb_std', np.float64(0.0595194204960152)), ('HHb_median', np.float64(0.057640823662234275)), ('HHb_min', np.float64(0.05332491027826271)), ('tHb_median', np.float64(0.05170270843457707)), ('tHb_min', np.float64(0.04879181676009249)), ('tHb_max', np.float64(0.04326578507359309)), ('O2Hb_std', np.float64(0.03902753110670116)), ('tHb_std', np.float64(0.02730390484456175))]",15
1,3,3,KNN,10,10,0.6322463768115941,0.5899057396417215,0.5590579710144928,0.5699219081572023,0.5986498372190716,"tHb_max, tHb_mean, tHb_median, tHb_min, O2Hb_max, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_mean, HHb_median",select_k_best,"[('tHb_max', np.float64(293.91375457870646)), ('tHb_mean', np.float64(288.84949699506456)), ('tHb_median', np.float64(280.1949449518835)), ('tHb_min', np.float64(275.7955470483024)), ('O2Hb_max', np.float64(241.01034388563906)), ('O2Hb_mean', np.float64(215.90127128406212)), ('O2Hb_median', np.float64(211.86531853941304)), ('O2Hb_min', np.float64(194.78941988136734)), ('HHb_max', np.float64(67.97222414999574)), ('HHb_mean', np.float64(59.36814804090115)), ('HHb_median', np.float64(58.605583926620234))]",11
2,6,6,LogisticRegression,10,20,0.6026570048309179,0.5400593328427311,0.494927536231884,0.4998228458049887,0.4990285654274313,"O2Hb_median, O2Hb_max, O2Hb_mean, HHb_max, HHb_mean, HHb_std, O2Hb_min, HHb_median, tHb_min, HHb_min, tHb_mean, tHb_median, O2Hb_std, tHb_max, tHb_std",random_forest,"[('O2Hb_median', np.float64(0.10530202202914854)), ('O2Hb_max', np.float64(0.10347756010328421)), ('O2Hb_mean', np.float64(0.09811593301759053)), ('HHb_max', np.float64(0.08327933895634976)), ('HHb_mean', np.float64(0.07311384025041906)), ('HHb_std', np.float64(0.07281410995121994)), ('O2Hb_min', np.float64(0.06732327162211005)), ('HHb_median', np.float64(0.06581596326636019)), ('tHb_min', np.float64(0.05979915651410024)), ('HHb_min', np.float64(0.055345328773177514)), ('tHb_mean', np.float64(0.05123032788623808)), ('tHb_median', np.float64(0.045974918194117455)), ('O2Hb_std', np.float64(0.043391934949143514)), ('tHb_max', np.float64(0.040402365975570745)), ('tHb_std', np.float64(0.03461392851117026))]",15
3,10,10,DecisionTree,10,20,0.6219806763285024,0.5461516214193471,0.4996376811594202,0.5121966575091575,0.5157004830917874,"tHb_min, tHb_max, tHb_mean, tHb_median, O2Hb_max, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_mean, HHb_min",select_k_best,"[('tHb_min', np.float64(136.06694973478503)), ('tHb_max', np.float64(135.99831841765936)), ('tHb_mean', np.float64(132.62724561141144)), ('tHb_median', np.float64(128.6740202517934)), ('O2Hb_max', np.float64(122.25428035064134)), ('O2Hb_mean', np.float64(108.00308262002248)), ('O2Hb_median', np.float64(107.27016653632109)), ('O2Hb_min', np.float64(94.55030289682729)), ('HHb_max', np.float64(28.950954160494017)), ('HHb_mean', np.float64(26.515742624499143)), ('HHb_min', np.float64(26.356805138313803))]",11
4,12,12,LogisticRegression,10,30,0.6057347670250897,0.566887743110641,0.5440860215053763,0.540719018138373,0.5641114579720199,"O2Hb_max, O2Hb_median, O2Hb_mean, HHb_max, HHb_mean, tHb_mean, O2Hb_min, tHb_median, HHb_min, tHb_min, HHb_median, tHb_max, HHb_std, O2Hb_std, tHb_std",random_forest,"[('O2Hb_max', np.float64(0.12589473138615628)), ('O2Hb_median', np.float64(0.09778312907006034)), ('O2Hb_mean', np.float64(0.08207161021113014)), ('HHb_max', np.float64(0.08141175406125542)), ('HHb_mean', np.float64(0.07562230779313003)), ('tHb_mean', np.float64(0.07077354145815234)), ('O2Hb_min', np.float64(0.06935828955003967)), ('tHb_median', np.float64(0.06554910554773373)), ('HHb_min', np.float64(0.05847961146391212)), ('tHb_min', np.float64(0.054282971032428205)), ('HHb_median', np.float64(0.051787105785104745)), ('tHb_max', np.float64(0.049936037942216877)), ('HHb_std', np.float64(0.04605698628397158)), ('O2Hb_std', np.float64(0.044092757215120244)), ('tHb_std', np.float64(0.02690006119958837))]",15
5,13,13,SVC,10,30,0.7150537634408604,0.6341170323928944,0.5801075268817204,0.5919467343056436,0.6164585501214013,"O2Hb_max, O2Hb_median, O2Hb_mean, HHb_max, HHb_mean, tHb_mean, O2Hb_min, tHb_median, HHb_min, tHb_min, HHb_median, tHb_max, HHb_std",random_forest,"[('O2Hb_max', np.float64(0.12589473138615628)), ('O2Hb_median', np.float64(0.09778312907006034)), ('O2Hb_mean', np.float64(0.08207161021113014)), ('HHb_max', np.float64(0.08141175406125542)), ('HHb_mean', np.float64(0.07562230779313003)), ('tHb_mean', np.float64(0.07077354145815234)), ('O2Hb_min', np.float64(0.06935828955003967)), ('tHb_median', np.float64(0.06554910554773373)), ('HHb_min', np.float64(0.05847961146391212)), ('tHb_min', np.float64(0.054282971032428205)), ('HHb_median', np.float64(0.051787105785104745)), ('tHb_max', np.float64(0.049936037942216877)), ('HHb_std', np.float64(0.04605698628397158))]",13
6,24,24,LogisticRegression,10,50,0.587719298245614,0.5750938295741164,0.5657894736842105,0.5852209805698178,0.5757925515543244,"O2Hb_max, O2Hb_median, HHb_max, O2Hb_mean, HHb_std, tHb_mean, HHb_mean, tHb_min, O2Hb_min, tHb_max, HHb_median, HHb_min, tHb_median, O2Hb_std, tHb_std",random_forest,"[('O2Hb_max', np.float64(0.11209992487915182)), ('O2Hb_median', np.float64(0.10861059235549804)), ('HHb_max', np.float64(0.08059032107714947)), ('O2Hb_mean', np.float64(0.08052356591745569)), ('HHb_std', np.float64(0.07387717876545387)), ('tHb_mean', np.float64(0.073732722271064)), ('HHb_mean', np.float64(0.06824655876128514)), ('tHb_min', np.float64(0.06332856698434024)), ('O2Hb_min', np.float64(0.06318324004508395)), ('tHb_max', np.float64(0.05437278019507716)), ('HHb_median', np.float64(0.05412903873006889)), ('HHb_min', np.float64(0.046834666702691666)), ('tHb_median', np.float64(0.0453206794587227)), ('O2Hb_std', np.float64(0.040038336164725234)), ('tHb_std', np.float64(0.035111827692232075))]",15
7,25,25,SVC,10,50,0.6783625730994153,0.60483618777499,0.5552631578947368,0.5608924556760294,0.5914127423822714,"tHb_max, tHb_mean, tHb_min, tHb_median, O2Hb_max, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_mean, HHb_median, HHb_min, HHb_std",select_k_best,"[('tHb_max', np.float64(57.83131734760882)), ('tHb_mean', np.float64(56.45516314477993)), ('tHb_min', np.float64(55.023736458941386)), ('tHb_median', np.float64(54.54758956435368)), ('O2Hb_max', np.float64(47.52589818911241)), ('O2Hb_mean', np.float64(42.719006231210756)), ('O2Hb_median', np.float64(41.77320127405642)), ('O2Hb_min', np.float64(39.173221504622816)), ('HHb_max', np.float64(12.590866500298862)), ('HHb_mean', np.float64(11.366085693985813)), ('HHb_median', np.float64(11.159134613157383)), ('HHb_min', np.float64(10.07718076530942)), ('HHb_std', np.float64(1.9490512865673313))]",13
8,44,44,RandomForest,10,80,0.8472222222222223,0.7360756182925096,0.7097222222222221,0.6638352638352638,0.7093942901234568,"tHb_min, O2Hb_median, tHb_max, O2Hb_max, HHb_std, tHb_mean, O2Hb_mean, tHb_median, O2Hb_min, HHb_max, O2Hb_std, HHb_min, tHb_std",random_forest,"[('tHb_min', np.float64(0.10403989879200101)), ('O2Hb_median', np.float64(0.10292451335926474)), ('tHb_max', np.float64(0.10281967767149516)), ('O2Hb_max', np.float64(0.0992960675089868)), ('HHb_std', np.float64(0.07741275093870337)), ('tHb_mean', np.float64(0.07386766979479327)), ('O2Hb_mean', np.float64(0.07250408350630368)), ('tHb_median', np.float64(0.05838444231439533)), ('O2Hb_min', np.float64(0.05691155440703487)), ('HHb_max', np.float64(0.05494507496835625)), ('O2Hb_std', np.float64(0.04938593774157968)), ('HHb_min', np.float64(0.03974167530840217)), ('tHb_std', np.float64(0.03819890232742884))]",13
9,53,53,XGBoost,10,90,0.7474747474747474,0.6433999700509134,0.5833333333333334,0.5843168109100446,0.6056014692378329,"O2Hb_max, O2Hb_median, O2Hb_mean, HHb_max, tHb_max, O2Hb_min, tHb_median, O2Hb_std, HHb_mean, tHb_min, tHb_mean, HHb_min, HHb_median, HHb_std, tHb_std",random_forest,"[('O2Hb_max', np.float64(0.12761953411452467)), ('O2Hb_median', np.float64(0.09980475884766236)), ('O2Hb_mean', np.float64(0.09753165004594902)), ('HHb_max', np.float64(0.08821927201627454)), ('tHb_max', np.float64(0.07876159940247947)), ('O2Hb_min', np.float64(0.07185153336699812)), ('tHb_median', np.float64(0.06515495316335722)), ('O2Hb_std', np.float64(0.05756074862230047)), ('HHb_mean', np.float64(0.05688340782835391)), ('tHb_min', np.float64(0.053292052506384816)), ('tHb_mean', np.float64(0.05015403560961619)), ('HHb_min', np.float64(0.04662153510455415)), ('HHb_median', np.float64(0.04163368624505945)), ('HHb_std', np.float64(0.03691571490296167)), ('tHb_std', np.float64(0.027995518223523808))]",15
10,60,60,LogisticRegression,20,10,0.6514041514041514,0.5970023781364214,0.5653846153846154,0.56195784172434,0.6011351286076562,"O2Hb_max, HHb_max, O2Hb_median, O2Hb_mean, O2Hb_min, tHb_max, tHb_min, HHb_mean, HHb_median, HHb_std, tHb_mean, HHb_min, tHb_median, O2Hb_std, tHb_std",random_forest,"[('O2Hb_max', np.float64(0.14393235274917274)), ('HHb_max', np.float64(0.11319615655495172)), ('O2Hb_median', np.float64(0.09563880105295663)), ('O2Hb_mean', np.float64(0.08659827824266485)), ('O2Hb_min', np.float64(0.06662572658783747)), ('tHb_max', np.float64(0.06633885508539987)), ('tHb_min', np.float64(0.06316162511296819)), ('HHb_mean', np.float64(0.05975894313873253)), ('HHb_median', np.float64(0.05683918032904233)), ('HHb_std', np.float64(0.0559242403299518)), ('tHb_mean', np.float64(0.054514385987518)), ('HHb_min', np.float64(0.04813567187726489)), ('tHb_median', np.float64(0.03555247991136652)), ('O2Hb_std', np.float64(0.03072950804103122)), ('tHb_std', np.float64(0.023053794999141217))]",15
11,61,61,SVC,20,10,0.7203907203907204,0.6284555973644337,0.5644688644688644,0.5862643305213066,0.5579874948006817,"tHb_max, tHb_mean, tHb_min, tHb_median, O2Hb_max, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_mean, HHb_median, HHb_min, HHb_std",select_k_best,"[('tHb_max', np.float64(332.88953561654665)), ('tHb_mean', np.float64(313.6931081291002)), ('tHb_min', np.float64(291.04083804672973)), ('tHb_median', np.float64(279.9288843665945)), ('O2Hb_max', np.float64(271.23221250294665)), ('O2Hb_mean', np.float64(223.13543250794405)), ('O2Hb_median', np.float64(217.40575051471959)), ('O2Hb_min', np.float64(182.00831146880813)), ('HHb_max', np.float64(83.13697956394044)), ('HHb_mean', np.float64(63.03085752301766)), ('HHb_median', np.float64(57.54971791682064)), ('HHb_min', np.float64(42.56022126486666)), ('HHb_std', np.float64(30.324552501878713))]",13
12,66,66,LogisticRegression,20,20,0.6823671497584541,0.6264725077500408,0.5992753623188406,0.5930936665556795,0.6098508716656165,"O2Hb_max, HHb_max, O2Hb_mean, O2Hb_median, tHb_min, tHb_max, O2Hb_min, HHb_std, tHb_mean, HHb_median, HHb_mean",random_forest,"[('O2Hb_max', np.float64(0.13869879514750563)), ('HHb_max', np.float64(0.11494606376087207)), ('O2Hb_mean', np.float64(0.09345101291353511)), ('O2Hb_median', np.float64(0.09228011443075106)), ('tHb_min', np.float64(0.07076728830149458)), ('tHb_max', np.float64(0.06440944095756662)), ('O2Hb_min', np.float64(0.06416397393474503)), ('HHb_std', np.float64(0.05712825713525371)), ('tHb_mean', np.float64(0.05682398457535871)), ('HHb_median', np.float64(0.05523511913266754)), ('HHb_mean', np.float64(0.04902532768471681))]",11
13,67,67,SVC,20,20,0.7318840579710145,0.6323585386858873,0.5666666666666668,0.5841956521839632,0.6090632220121824,"O2Hb_max, HHb_max, O2Hb_mean, O2Hb_median, tHb_min, tHb_max, O2Hb_min, HHb_std, tHb_mean, HHb_median, HHb_mean, HHb_min, tHb_median",random_forest,"[('O2Hb_max', np.float64(0.13869879514750563)), ('HHb_max', np.float64(0.11494606376087207)), ('O2Hb_mean', np.float64(0.09345101291353511)), ('O2Hb_median', np.float64(0.09228011443075106)), ('tHb_min', np.float64(0.07076728830149458)), ('tHb_max', np.float64(0.06440944095756662)), ('O2Hb_min', np.float64(0.06416397393474503)), ('HHb_std', np.float64(0.05712825713525371)), ('tHb_mean', np.float64(0.05682398457535871)), ('HHb_median', np.float64(0.05523511913266754)), ('HHb_mean', np.float64(0.04902532768471681)), ('HHb_min', np.float64(0.04364963951784911)), ('tHb_median', np.float64(0.042986917209635815))]",13
14,74,74,RandomForest,20,30,0.6505376344086021,0.6049896079092237,0.5666666666666667,0.6043419267299864,0.6217915365938259,"O2Hb_max, O2Hb_mean, HHb_max, O2Hb_median, tHb_min, O2Hb_min, tHb_max, tHb_mean, HHb_std, HHb_median, HHb_mean, HHb_min",random_forest,"[('O2Hb_max', np.float64(0.13072343906730288)), ('O2Hb_mean', np.float64(0.0968852381332122)), ('HHb_max', np.float64(0.0967557312360848)), ('O2Hb_median', np.float64(0.08679045259207319)), ('tHb_min', np.float64(0.07853304329892576)), ('O2Hb_min', np.float64(0.07067981382149878)), ('tHb_max', np.float64(0.06488605998830586)), ('tHb_mean', np.float64(0.06281804456331208)), ('HHb_std', np.float64(0.06169552651810478)), ('HHb_median', np.float64(0.0581651478199227)), ('HHb_mean', np.float64(0.053456704145685076)), ('HHb_min', np.float64(0.04427917400530418))]",12
15,86,86,RandomForest,20,50,0.6695906432748538,0.604330970683172,0.5552631578947368,0.5792275426826922,0.6040704832256079,"tHb_max, tHb_mean, tHb_min, tHb_median, O2Hb_max, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_mean, HHb_median, HHb_min",select_k_best,"[('tHb_max', np.float64(65.09306799705281)), ('tHb_mean', np.float64(62.43947245574361)), ('tHb_min', np.float64(61.081119464664)), ('tHb_median', np.float64(54.724720053072815)), ('O2Hb_max', np.float64(53.43380495635421)), ('O2Hb_mean', np.float64(45.21465313275386)), ('O2Hb_median', np.float64(44.007160325045774)), ('O2Hb_min', np.float64(38.07121158577427)), ('HHb_max', np.float64(15.80856717385531)), ('HHb_mean', np.float64(12.137371243697215)), ('HHb_median', np.float64(10.492378338790395)), ('HHb_min', np.float64(9.7577403678845))]",12
16,102,102,LogisticRegression,20,80,0.7685185185185185,0.697111631537861,0.6819444444444445,0.7117117117117117,0.701388888888889,"tHb_max, O2Hb_max, tHb_mean, tHb_min, HHb_std, tHb_median, O2Hb_median, O2Hb_mean, O2Hb_min, HHb_median, HHb_max, HHb_mean, HHb_min, O2Hb_std, tHb_std",random_forest,"[('tHb_max', np.float64(0.11197978554085414)), ('O2Hb_max', np.float64(0.09873612163215123)), ('tHb_mean', np.float64(0.0950557335561443)), ('tHb_min', np.float64(0.09399604412520944)), ('HHb_std', np.float64(0.08847316254672498)), ('tHb_median', np.float64(0.0879263664762562)), ('O2Hb_median', np.float64(0.07052868225215153)), ('O2Hb_mean', np.float64(0.06016550538627031)), ('O2Hb_min', np.float64(0.04989752085706558)), ('HHb_median', np.float64(0.04528701391266849)), ('HHb_max', np.float64(0.0433343396933594)), ('HHb_mean', np.float64(0.041422008114270374)), ('HHb_min', np.float64(0.04042262197921026)), ('O2Hb_std', np.float64(0.039052519484891246)), ('tHb_std', np.float64(0.03372257444277248))]",15
17,103,103,SVC,20,80,0.8333333333333334,0.7284557397787248,0.6986111111111111,0.6690670934091987,0.7642746913580246,"tHb_max, O2Hb_max, tHb_mean, tHb_min, HHb_std, tHb_median, O2Hb_median, O2Hb_mean, O2Hb_min, HHb_median, HHb_max",random_forest,"[('tHb_max', np.float64(0.11197978554085414)), ('O2Hb_max', np.float64(0.09873612163215123)), ('tHb_mean', np.float64(0.0950557335561443)), ('tHb_min', np.float64(0.09399604412520944)), ('HHb_std', np.float64(0.08847316254672498)), ('tHb_median', np.float64(0.0879263664762562)), ('O2Hb_median', np.float64(0.07052868225215153)), ('O2Hb_mean', np.float64(0.06016550538627031)), ('O2Hb_min', np.float64(0.04989752085706558)), ('HHb_median', np.float64(0.04528701391266849)), ('HHb_max', np.float64(0.0433343396933594))]",11
18,104,104,RandomForest,20,80,0.6388888888888888,0.6058848255569568,0.6708333333333333,0.6098943771357564,0.7499035493827161,"tHb_max, O2Hb_max, tHb_mean, tHb_min, HHb_std, tHb_median, O2Hb_median, O2Hb_mean, O2Hb_min, HHb_median, HHb_max, HHb_mean, HHb_min, O2Hb_std, tHb_std",random_forest,"[('tHb_max', np.float64(0.11197978554085414)), ('O2Hb_max', np.float64(0.09873612163215123)), ('tHb_mean', np.float64(0.0950557335561443)), ('tHb_min', np.float64(0.09399604412520944)), ('HHb_std', np.float64(0.08847316254672498)), ('tHb_median', np.float64(0.0879263664762562)), ('O2Hb_median', np.float64(0.07052868225215153)), ('O2Hb_mean', np.float64(0.06016550538627031)), ('O2Hb_min', np.float64(0.04989752085706558)), ('HHb_median', np.float64(0.04528701391266849)), ('HHb_max', np.float64(0.0433343396933594)), ('HHb_mean', np.float64(0.041422008114270374)), ('HHb_min', np.float64(0.04042262197921026)), ('O2Hb_std', np.float64(0.039052519484891246)), ('tHb_std', np.float64(0.03372257444277248))]",15
19,105,105,KNN,20,80,0.7453703703703703,0.6933428153767137,0.6847222222222222,0.6711478362201388,0.6852816358024691,"tHb_max, O2Hb_max, tHb_mean, tHb_min, HHb_std, tHb_median, O2Hb_median, O2Hb_mean, O2Hb_min, HHb_median, HHb_max, HHb_mean",random_forest,"[('tHb_max', np.float64(0.11197978554085414)), ('O2Hb_max', np.float64(0.09873612163215123)), ('tHb_mean', np.float64(0.0950557335561443)), ('tHb_min', np.float64(0.09399604412520944)), ('HHb_std', np.float64(0.08847316254672498)), ('tHb_median', np.float64(0.0879263664762562)), ('O2Hb_median', np.float64(0.07052868225215153)), ('O2Hb_mean', np.float64(0.06016550538627031)), ('O2Hb_min', np.float64(0.04989752085706558)), ('HHb_median', np.float64(0.04528701391266849)), ('HHb_max', np.float64(0.0433343396933594)), ('HHb_mean', np.float64(0.041422008114270374))]",12
20,110,110,RandomForest,20,90,0.7676767676767676,0.676068376068376,0.6348484848484848,0.6186479128856625,0.6670110192837466,"tHb_max, O2Hb_max, tHb_mean, tHb_min, tHb_median, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_mean, HHb_median, HHb_min, HHb_std",select_k_best,"[('tHb_max', np.float64(35.18104756447909)), ('O2Hb_max', np.float64(33.48145129384799)), ('tHb_mean', np.float64(33.30026737063986)), ('tHb_min', np.float64(31.453139398821875)), ('tHb_median', np.float64(30.195793498249476)), ('O2Hb_mean', np.float64(27.880229316598605)), ('O2Hb_median', np.float64(27.465226932799396)), ('O2Hb_min', np.float64(22.378862646971832)), ('HHb_max', np.float64(7.7332588801735165)), ('HHb_mean', np.float64(5.5912214885360285)), ('HHb_median', np.float64(5.001617368685321)), ('HHb_min', np.float64(3.773828095111561)), ('HHb_std', np.float64(3.7198148386092846))]",13
21,112,112,DecisionTree,20,90,0.7373737373737373,0.6687426900584795,0.6393939393939393,0.6248847926267281,0.6489898989898991,"tHb_max, O2Hb_max, tHb_mean, tHb_min, tHb_median, O2Hb_mean, O2Hb_median, O2Hb_min, HHb_max, HHb_mean, HHb_median, HHb_min, HHb_std, O2Hb_std, tHb_std",select_k_best,"[('tHb_max', np.float64(35.18104756447909)), ('O2Hb_max', np.float64(33.48145129384799)), ('tHb_mean', np.float64(33.30026737063986)), ('tHb_min', np.float64(31.453139398821875)), ('tHb_median', np.float64(30.195793498249476)), ('O2Hb_mean', np.float64(27.880229316598605)), ('O2Hb_median', np.float64(27.465226932799396)), ('O2Hb_min', np.float64(22.378862646971832)), ('HHb_max', np.float64(7.7332588801735165)), ('HHb_mean', np.float64(5.5912214885360285)), ('HHb_median', np.float64(5.001617368685321)), ('HHb_min', np.float64(3.773828095111561)), ('HHb_std', np.float64(3.7198148386092846)), ('O2Hb_std', np.float64(1.2393325167129392)), ('tHb_std', np.float64(0.29830906427631376))]",15
22,113,113,XGBoost,20,90,0.7626262626262627,0.6728744939271255,0.6363636363636364,0.6136904761904761,0.6168503213957758,"O2Hb_max, O2Hb_median, HHb_max, O2Hb_mean, tHb_min, tHb_max, O2Hb_min, HHb_median, tHb_mean, HHb_min, HHb_std",random_forest,"[('O2Hb_max', np.float64(0.14741396078816885)), ('O2Hb_median', np.float64(0.10026152562476226)), ('HHb_max', np.float64(0.09680631893332241)), ('O2Hb_mean', np.float64(0.0915313563033392)), ('tHb_min', np.float64(0.07248743716465274)), ('tHb_max', np.float64(0.06967364863575508)), ('O2Hb_min', np.float64(0.0663803960782214)), ('HHb_median', np.float64(0.06285513740619182)), ('tHb_mean', np.float64(0.05400790091633841)), ('HHb_min', np.float64(0.04971081228985827)), ('HHb_std', np.float64(0.04679115517682347))]",11
