,Model,Window,Step,params,Accuracy,Recall,Precision,F1-score,ROC_AUC
0,LogisticRegression,30,80,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}",0.9197191697191697,0.9259259259259259,0.7079463364293086,0.7964805740111635,0.9615600448933782
1,LogisticRegression,30,80,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9175824175824175,0.9120370370370371,0.7046783625730995,0.7894226994396774,0.9614548260381593
2,LogisticRegression,30,80,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}",0.9175824175824175,0.9120370370370371,0.7046783625730995,0.7894226994396774,0.9618406285072952
3,LogisticRegression,30,80,"{'C': 10, 'l1_ratio': 0.0, 'penalty': 'elasticnet', 'solver': 'saga'}",0.9175824175824175,0.9120370370370371,0.7046783625730995,0.7894226994396774,0.9618406285072952
4,LogisticRegression,30,80,"{'C': 10, 'l1_ratio': 0.5, 'penalty': 'elasticnet', 'solver': 'saga'}",0.9175824175824175,0.9120370370370371,0.7046783625730995,0.7894226994396774,0.9606832210998877
0,LogisticRegression,10,10,"{'C': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.8587752826883261,0.9154589371980676,0.5532318925806136,0.6875635503954779,0.9181309789769146
1,LogisticRegression,10,10,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",0.8574016563146998,0.9154589371980676,0.5505682794066722,0.6854736908596032,0.9178618653453247
2,LogisticRegression,10,10,"{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8576604554865425,0.9136473429951691,0.5512676706592278,0.6853623772380733,0.9177693761814744
0,LogisticRegression,20,10,"{'C': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.8629795113311597,0.8760683760683761,0.5673334372521365,0.6851024315812028,0.922520702740483
3,LogisticRegression,10,10,"{'C': 100, 'penalty': 'l1', 'solver': 'saga'}",0.8571229495142539,0.9142512077294686,0.5499058843735566,0.6847121045904995,0.9189329495331385
4,LogisticRegression,10,10,"{'C': 100, 'l1_ratio': 1.0, 'penalty': 'elasticnet', 'solver': 'saga'}",0.8571229495142539,0.9142512077294686,0.5499058843735566,0.6847121045904995,0.9189329495331385
1,LogisticRegression,20,10,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",0.8618323068872519,0.880952380952381,0.5648419680677744,0.6843561449900329,0.9204202391015578
2,LogisticRegression,20,10,"{'C': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.8610071247433885,0.8791208791208792,0.5631391752372017,0.6825477831367098,0.9207880032055856
3,LogisticRegression,20,10,"{'penalty': None, 'solver': 'lbfgs'}",0.861570663768466,0.8742368742368742,0.5649984288739722,0.6823927228423833,0.9220968286902353
4,LogisticRegression,20,10,"{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8607454816246025,0.8766788766788768,0.5630297987556052,0.6815885345942131,0.9209514539184869
0,LogisticRegression,10,50,"{'penalty': None, 'solver': 'lbfgs'}",0.8550221708116444,0.8742690058479532,0.5467983043284248,0.6704430321451599,0.9141833850975125
1,LogisticRegression,10,50,"{'C': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.8523231154810103,0.8801169590643275,0.5411764705882353,0.6676459466015953,0.914896891351185
2,LogisticRegression,10,50,"{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8523231154810103,0.8801169590643275,0.5411764705882353,0.6676459466015953,0.914715017208092
3,LogisticRegression,10,50,"{'C': 100, 'penalty': 'l1', 'solver': 'saga'}",0.8535762483130904,0.8625730994152047,0.5436507936507936,0.6644250086433251,0.9148269397576877
4,LogisticRegression,10,50,"{'C': 100, 'l1_ratio': 0.5, 'penalty': 'elasticnet', 'solver': 'saga'}",0.8535762483130904,0.8625730994152047,0.5436507936507936,0.6644250086433251,0.9147290075267914
1,LogisticRegression,10,20,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.8393056219143175,0.9033816425120773,0.5176357577677174,0.656432967347523,0.8999899753680473
2,LogisticRegression,10,20,"{'C': 1, 'l1_ratio': 0.0, 'penalty': 'elasticnet', 'solver': 'saga'}",0.8393056219143175,0.9033816425120773,0.5176357577677174,0.656432967347523,0.8999899753680473
0,LogisticRegression,10,20,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8393056219143175,0.9033816425120773,0.5176357577677174,0.656432967347523,0.9000305512592847
3,LogisticRegression,10,20,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8376731963688485,0.9033816425120773,0.5148649460403633,0.6541849855391523,0.8995937637241985
4,LogisticRegression,10,20,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'elasticnet', 'solver': 'saga'}",0.838270425226947,0.8876811594202899,0.5157582110412299,0.6507516250077446,0.8998372190716236
1,RandomForest,40,80,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.8794261294261295,0.5416666666666666,0.6330213903743317,0.5452586206896551,0.8574810606060607
0,RandomForest,40,80,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.8794261294261295,0.5416666666666666,0.6330213903743317,0.5452586206896551,0.8574810606060607
3,RandomForest,40,80,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.8794261294261295,0.5416666666666666,0.6330213903743317,0.5452586206896551,0.8574810606060607
2,RandomForest,40,80,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.8794261294261295,0.5416666666666666,0.6330213903743317,0.5452586206896551,0.8574810606060607
4,RandomForest,40,80,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.8794261294261295,0.5416666666666666,0.6330213903743317,0.5452586206896551,0.8574810606060607
1,KNN,30,80,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.8315018315018315,0.6203703703703703,0.46997283761989644,0.5219573786646957,0.7739898989898991
4,KNN,30,80,"{'metric': 'minkowski', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.8315018315018315,0.6203703703703703,0.46997283761989644,0.5219573786646957,0.7689569304152637
2,KNN,30,80,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.8315018315018315,0.6203703703703703,0.46997283761989644,0.5219573786646957,0.7689569304152637
3,KNN,30,80,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.8315018315018315,0.6203703703703703,0.46997283761989644,0.5219573786646957,0.7739898989898991
0,KNN,30,80,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.8315018315018315,0.6203703703703703,0.46997283761989644,0.5219573786646957,0.7689569304152637
